Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD-OGD,31,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,34,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,37,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,40,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,43,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,46,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD-OGD,49,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
OGD,1,AdultIncome,0.9+0,0.12526420489866966,0.12787999336979947,0.0012787999336979947
OGD,4,AdultIncome,0.9+0,0.017928488853037033,0.04682579148019229,0.0004415766300274712
OGD,7,AdultIncome,0.9+0,0.109697067034687,0.07048385315119712,0.001173096446313894
OGD,10,AdultIncome,0.9+0,0.05737599777631953,0.04682579148019229,0.0008178275759154136
OGD,13,AdultIncome,0.9+0,0.007970619587185392,0.04682579148019229,0.0003785266985947434
OGD,16,AdultIncome,0.9+0,0.006124536530801498,0.04682579148019229,0.0004074104744109718
OGD,19,AdultIncome,0.9+0,0.0024614515533930023,0.04682579148019229,0.00042949580597848703
OGD,22,AdultIncome,0.9+0,0.0030507735609191225,0.04682579148019229,0.00042949580597848703
OGD,25,AdultIncome,0.9+0,0.001036766230747194,0.04682579148019229,0.00042949580597848703
OGD,28,AdultIncome,0.9+0,0.001905483202873926,0.04682579148019229,0.00042949580597848703
OGD,31,AdultIncome,0.9+0,0.0002590622423477172,0.04682579148019229,0.00042949580597848703
OGD,34,AdultIncome,0.9+0,0.0018265702276742688,0.04682579148019229,0.0004158321702862689
OGD,37,AdultIncome,0.9+0,0.0031361985682078638,0.04682579148019229,0.00044953020607096136
OGD,40,AdultIncome,0.9+0,0.00048787322230775364,0.04682579148019229,0.00042492214837050473
OGD,43,AdultIncome,0.9+0,0.0021507970739868387,0.04682579148019229,0.0004428391639974106
OGD,46,AdultIncome,0.9+0,4.63851703081785e-05,0.04682579148019229,0.0004284762672879612
OGD,49,AdultIncome,0.9+0,0.00037945587772692934,0.04682579148019229,0.00042565832039616824
Hedge,1,AdultIncome,0.9+0,0.12526420489866966,0.12787999336979947,0.0012787999336979947
Hedge,4,AdultIncome,0.9+0,0.05801373649153915,0.062196367615559696,0.0008221579291780093
Hedge,7,AdultIncome,0.9+0,0.015455907408852675,0.062196367615559696,0.0006525504211688184
Hedge,10,AdultIncome,0.9+0,0.009112382570396553,0.062196367615559696,0.0006263074389794256
Hedge,13,AdultIncome,0.9+0,0.011515750887653012,0.062196367615559696,0.0006263074389794256
Hedge,16,AdultIncome,0.9+0,0.008448291637357896,0.062196367615559696,0.0006151255357084458
Hedge,19,AdultIncome,0.9+0,0.002845032109190514,0.062196367615559696,0.0006151255357084458
Hedge,22,AdultIncome,0.9+0,0.0016702378974725201,0.062196367615559696,0.0006089174892934426
Hedge,25,AdultIncome,0.9+0,0.004158355776793907,0.062196367615559696,0.0006089174892934426
Hedge,28,AdultIncome,0.9+0,0.0032769124439727833,0.062196367615559696,0.0006060487067989993
Hedge,31,AdultIncome,0.9+0,0.00014380017094618803,0.062196367615559696,0.0006062556751249088
Hedge,34,AdultIncome,0.9+0,0.0018877920450461935,0.062196367615559696,0.0006064235680946881
Hedge,37,AdultIncome,0.9+0,7.751017799288842e-05,0.062196367615559696,0.0006065338436697163
Hedge,40,AdultIncome,0.9+0,0.0010155548664797398,0.062196367615559696,0.0006065338436697163
Hedge,43,AdultIncome,0.9+0,5.006711638346181e-05,0.062196367615559696,0.0006065338436697163
Hedge,46,AdultIncome,0.9+0,0.0005347368545879321,0.062196367615559696,0.0006065813432229555
Hedge,49,AdultIncome,0.9+0,2.355684565433822e-05,0.062196367615559696,0.00060661251734002
Prod,1,AdultIncome,0.9+0,0.12526420489866966,0.12787999336979947,0.0012787999336979947
Prod,4,AdultIncome,0.9+0,0.031070137292909698,0.04682579148019229,0.0006392063536951434
Prod,7,AdultIncome,0.9+0,0.02251025715615534,0.04682579148019229,0.00027538645319912945
Prod,10,AdultIncome,0.9+0,0.021804427978633554,0.04682579148019229,0.00028017915216623635
Prod,13,AdultIncome,0.9+0,0.0023576397866159745,0.04682579148019229,0.00043533332654066456
Prod,16,AdultIncome,0.9+0,0.0010453992355104781,0.04682579148019229,0.00043533332654066456
Prod,19,AdultIncome,0.9+0,0.0016107510361877348,0.04682579148019229,0.0004247301726085856
Prod,22,AdultIncome,0.9+0,0.0005161458292605492,0.04682579148019229,0.0004247301726085856
Prod,25,AdultIncome,0.9+0,0.0007984035537813216,0.04682579148019229,0.000427582534957868
Prod,28,AdultIncome,0.9+0,0.00018898500920849968,0.04682579148019229,0.000427582534957868
Prod,31,AdultIncome,0.9+0,0.002761326308652528,0.04682579148019229,0.00044698476030534986
Prod,34,AdultIncome,0.9+0,9.048566560081093e-05,0.04682579148019229,0.0004285196297445616
Prod,37,AdultIncome,0.9+0,0.00028460027203789013,0.04682579148019229,0.0004285196297445616
Prod,40,AdultIncome,0.9+0,7.99728141899895e-05,0.04682579148019229,0.00042769186082633123
Prod,43,AdultIncome,0.9+0,0.0001595978484554912,0.04682579148019229,0.00042835088681965805
Prod,46,AdultIncome,0.9+0,4.420475848625833e-05,0.04682579148019229,0.0004279347319473996
Prod,49,AdultIncome,0.9+0,0.00040771696357794456,0.04682579148019229,0.0004254664228644704
GD,1,AdultIncome,0.9+0,0.12526420489866966,0.12787999336979947,0.0012787999336979947
GD,4,AdultIncome,0.9+0,0.05255501678478182,0.05137576661694022,0.0005137576661694022
GD,7,AdultIncome,0.9+0,0.0017706158522939877,0.04682579148019229,0.0004363824796950116
GD,10,AdultIncome,0.9+0,0.08686536108011936,0.04682579148019229,0.0006155793617176366
