Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
OGD,13,Bank Market,0.9+0,0.042329131321529656,0.036501206720539046,0.0003048503751090892,0.05068095029563849
OGD,25,Bank Market,0.9+0,0.006694572116188834,0.01843676448181513,0.00022815615569404688,0.027689883739606774
OGD,37,Bank Market,0.9+0,0.011767863550451693,0.0171835469818285,0.00022914888807120559,0.021764535257866896
OGD,49,Bank Market,0.9+0,0.009712245213472073,0.016470871803287317,0.00022957093468717614,0.023992625554669394
OGD,61,Bank Market,0.9+0,0.00911780383616307,0.016748075304638736,0.00023190878751282905,0.024302446557098626
OGD,73,Bank Market,0.9+0,0.00893319875062578,0.016783817858794986,0.00023194761942180287,0.024347316058063073
OGD,85,Bank Market,0.9+0,0.008887535845662205,0.016798497768006716,0.00023202595706512695,0.02436457623683634
OGD,97,Bank Market,0.9+0,0.008873255716089646,0.01680521650353409,0.00023208581927236754,0.024372026119998582
Hedge,1,Bank Market,0.9+0,0.5864052566172911,0.5889781027475256,0.005889781027475256,0.5798583733434537
Hedge,13,Bank Market,0.9+0,0.008015707020475974,0.02448010684994446,0.0001602539679244386,0.03326683103567415
Hedge,25,Bank Market,0.9+0,0.00491753130611485,0.019886479494022828,0.00020370574845407946,0.028617704302517165
Hedge,37,Bank Market,0.9+0,0.004116291791008615,0.01799646273799668,0.00018829882292591886,0.026828127211229062
Hedge,49,Bank Market,0.9+0,0.003968831773533585,0.018241724064724768,0.00019408210182694812,0.027055671393922707
Hedge,61,Bank Market,0.9+0,0.0039270668665661234,0.0182455722254067,0.00019461660583679877,0.02705941930044028
Hedge,73,Bank Market,0.9+0,0.003916684579792,0.01822623208942405,0.00019449801500047854,0.027041009650177635
Hedge,85,Bank Market,0.9+0,0.003913706305249561,0.018227010430015077,0.00019458934427717603,0.027041767713705096
Hedge,97,Bank Market,0.9+0,0.003912766580070515,0.018227097041356766,0.00019460136162981767,0.0270418520686881
Prod,1,Bank Market,0.9+0,0.5081208077552086,0.5110158769418098,0.005110158769418099,0.501670257113281
Prod,13,Bank Market,0.9+0,0.017281523723813915,0.01902186143523858,0.00016328524249835434,0.02231705132716348
Prod,25,Bank Market,0.9+0,0.003574315612632543,0.015676222462375135,0.00026445702454316677,0.02257848935581242
Prod,37,Bank Market,0.9+0,0.0031734598347515548,0.014705107229282526,0.0002592210785385795,0.02029125609703643
Prod,49,Bank Market,0.9+0,0.003073983083750723,0.0145876492650412,0.0002567862529668204,0.02018545307177011
Prod,61,Bank Market,0.9+0,0.0030489330812438634,0.014579489574406855,0.0002569783331868319,0.020180119179808092
Prod,73,Bank Market,0.9+0,0.003039804524243035,0.014575892377096158,0.00025688378128924203,0.020177690406000353
Prod,85,Bank Market,0.9+0,0.0030375656311664675,0.014574952425017934,0.00025685972610572266,0.020177055763974366
Prod,97,Bank Market,0.9+0,0.00303690026161832,0.014574719843210024,0.00025685407924901717,0.020176898728078638
GD,1,Bank Market,0.9+0,0.8372979426891991,0.8388381008552049,0.00838838100855205,0.8304423243712054
GD,13,Bank Market,0.9+0,0.20881198082773875,0.0729722726494472,0.001422042083306409,0.07856178474611256
GD,25,Bank Market,0.9+0,0.03245195098167253,0.053375869126367506,0.0008553603439367861,0.050047753224283474
GD,37,Bank Market,0.9+0,0.04346085860369312,0.09794498077696978,0.0016257872601354798,0.08557186046174763
GD,49,Bank Market,0.9+0,0.06417271145443476,0.07567525416063979,0.0018566611527477453,0.07643268895154517
GD,61,Bank Market,0.9+0,0.012660292558362912,0.07567525416063979,0.0015413931206694099,0.07948472917084888
GD,73,Bank Market,0.9+0,0.012660292558362912,0.07567525416063979,0.0015413931206694099,0.07948472917084888
GD,85,Bank Market,0.9+0,0.012660292558362912,0.07567525416063979,0.0015413931206694099,0.07948472917084888
GD,97,Bank Market,0.9+0,0.012660292558362912,0.07567525416063979,0.0015413931206694099,0.07948472917084888
OGD,1,Bank Market,0.95+0,0.3358828572332997,0.33948686720758303,0.0033948686720758304,0.32964425334873815
